<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
AMC0610,08:00:30:F3:03:AB
AMC0611,0C:05:04:03:02:B1
AMC0612,08:00:30:F3:03:C9
AMC06131,08:00:30:F3:00:D3
AMC06132,08:00:30:F3:00:93

# uTCA crate in S2D11 U17
MCH0801,00:40:42:0B:1C:43
AMC0801,0C:05:04:03:02:E1
AMC0802,0C:05:04:03:02:E2
AMC0803,08:00:30:F3:03:93
AMC0804,0C:05:04:03:02:E4
AMC0805,0C:05:04:03:02:E5
AMC0806,0C:05:04:03:02:E6
AMC0807,0C:05:04:03:02:E7
AMC0808,0C:05:04:03:02:E8
AMC0809,0C:05:04:03:02:E9
AMC0810,0C:05:04:03:02:F0
AMC0811,0C:05:04:03:02:F1
AMC0812,0C:05:04:03:02:F2
AMC08131,08:00:30:F3:00:D4
AMC08132,08:00:30:F3:00:94

# uTCA crate in S1D07 U10
# 0C:05:04:03:06:5
MCH4701,00:40:42:0B:26:CC
AMC4701,08:00:30:F3:02:01
AMC4702,08:00:30:F3:02:02
AMC4703,08:00:30:F3:02:03
AMC4704,08:00:30:F3:02:04
AMC4705,08:00:30:F3:02:05
AMC4706,08:00:30:F3:02:06
AMC4707,08:00:30:F3:02:07
AMC4708,08:00:30:F3:02:08
AMC4709,08:00:30:F3:02:09
AMC4710,08:00:30:F3:02:0A
AMC4711,08:00:30:F3:02:0B
AMC4712,08:00:30:F3:02:0C
AMC47131,08:00:30:F3:01:EA
AMC47132,08:00:30:F3:01:AA

# uTCA crate in S1D07 U27
# 0C:05:04:03:06:6
MCH4801,00:40:42:0B:26:BF
AMC4801,08:00:30:F3:02:11
AMC4802,08:00:30:F3:02:12
AMC4803,08:00:30:F3:02:13
AMC4804,08:00:30:F3:02:14
AMC4805,08:00:30:F3:02:15
AMC4806,08:00:30:F3:02:16
