# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


#### Rack C2A01 ####
MC17120236-2,a4:bf:01:28:c1:60,,a4:bf:01:28:c1:62
MC17120236-3,a4:bf:01:28:c1:88,,a4:bf:01:28:c1:8a
MC17120236-4,a4:bf:01:28:bb:07,,a4:bf:01:28:bb:09
MC17120237-1,a4:bf:01:28:c3:68,,a4:bf:01:28:c3:6a
MC17120237-2,a4:bf:01:28:c1:38,,a4:bf:01:28:c1:3a
MC17120237-3,a4:bf:01:28:93:3c,,a4:bf:01:28:93:3e
MC17120237-4,a4:bf:01:28:97:2e,,a4:bf:01:28:97:30
MC17120241-1,a4:bf:01:28:c4:ad,,a4:bf:01:28:c4:af
MC17120241-2,a4:bf:01:28:c3:77,,a4:bf:01:28:c3:79
MC17120241-3,a4:bf:01:2d:1b:11,,a4:bf:01:2d:1b:13
MC17120241-4,a4:bf:01:2d:22:3b,,a4:bf:01:2d:22:3d
MC17120249-1,a4:bf:01:28:97:10,,a4:bf:01:28:97:12
MC17120249-2,a4:bf:01:28:95:ee,,a4:bf:01:28:95:f0
MC17120249-3,a4:bf:01:29:3a:8a,,a4:bf:01:29:3a:8c
MC17120249-4,a4:bf:01:28:96:98,,a4:bf:01:28:96:9a
MC17120250-1,a4:bf:01:28:9d:be,,a4:bf:01:28:9d:c0
MC17120250-2,a4:bf:01:28:c2:0f,,a4:bf:01:28:c2:11
MC17120250-3,a4:bf:01:28:93:f5,,a4:bf:01:28:93:f7
MC17120250-4,a4:bf:01:28:97:e2,,a4:bf:01:28:97:e4
MC17120264-1,a4:bf:01:28:ee:a0,,a4:bf:01:28:ee:a2
MC17120264-2,a4:bf:01:28:c1:ce,,a4:bf:01:28:c1:d0
MC17120264-3,a4:bf:01:28:9c:e2,,a4:bf:01:28:9c:e4
MC17120264-4,a4:bf:01:28:c3:7c,,a4:bf:01:28:c3:7e
MC17120267-1,a4:bf:01:2d:20:29,,a4:bf:01:2d:20:2b
MC17120267-2,a4:bf:01:28:c1:6f,,a4:bf:01:28:c1:71
MC17120267-3,a4:bf:01:2d:20:15,,a4:bf:01:2d:20:17
